unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
DRI|0001225208-26-006843|nonDerivative|2026-07-29|King Sarah H.|S|Common Stock|1500.0000|209.6321|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006843,https://www.sec.gov/Archives/edgar/data/940944/000122520826006843/doc4.xml,nonDerivative,2026-07-29,S,Common Stock,1500.0000,209.6321,314448.15,3615.8190,D,King Sarah H.,"Officer, SVP, Chief People Officer",,1,,"SVP, Chief People Officer",SEC EDGAR
DRI|0001225208-26-006843|nonDerivative|2026-07-29|King Sarah H.|S|Common Stock|2873.0000|210.8308|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006843,https://www.sec.gov/Archives/edgar/data/940944/000122520826006843/doc4.xml,nonDerivative,2026-07-29,S,Common Stock,2873.0000,210.8308,605716.8884,742.8190,D,King Sarah H.,"Officer, SVP, Chief People Officer",,1,,"SVP, Chief People Officer",SEC EDGAR
DRI|0001225208-26-006843|derivative|2026-07-29|King Sarah H.|A|Restricted Stock Units (FY27 Annual Grant)|1810.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006843,https://www.sec.gov/Archives/edgar/data/940944/000122520826006843/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1810.0000,0.0000,0.0,1810.0000,D,King Sarah H.,"Officer, SVP, Chief People Officer",,1,,"SVP, Chief People Officer",SEC EDGAR
DRI|0001225208-26-006843|derivative|2026-07-29|King Sarah H.|A|Stock Option (Right to Buy)|5338.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006843,https://www.sec.gov/Archives/edgar/data/940944/000122520826006843/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),5338.0000,0.0000,0.0,5338.0000,D,King Sarah H.,"Officer, SVP, Chief People Officer",,1,,"SVP, Chief People Officer",SEC EDGAR
DRI|0001225208-26-006844|nonDerivative|2026-07-29|Connelly Susan M.|S|Common Stock|2226.0000|208.1710|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006844,https://www.sec.gov/Archives/edgar/data/940944/000122520826006844/doc4.xml,nonDerivative,2026-07-29,S,Common Stock,2226.0000,208.1710,463388.646,4165.3010,D,Connelly Susan M.,"Officer, SVP, Chief Comm & PA Officer",,1,,"SVP, Chief Comm & PA Officer",SEC EDGAR
DRI|0001225208-26-006844|derivative|2026-07-29|Connelly Susan M.|A|Restricted Stock Units (FY27 Annual Grant)|749.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006844,https://www.sec.gov/Archives/edgar/data/940944/000122520826006844/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),749.0000,0.0000,0.0,749.0000,D,Connelly Susan M.,"Officer, SVP, Chief Comm & PA Officer",,1,,"SVP, Chief Comm & PA Officer",SEC EDGAR
DRI|0001225208-26-006844|derivative|2026-07-29|Connelly Susan M.|A|Stock Option (Right to Buy)|2209.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006844,https://www.sec.gov/Archives/edgar/data/940944/000122520826006844/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),2209.0000,0.0000,0.0,2209.0000,D,Connelly Susan M.,"Officer, SVP, Chief Comm & PA Officer",,1,,"SVP, Chief Comm & PA Officer",SEC EDGAR
DRI|0001225208-26-006842|nonDerivative|2026-07-28|Cardenas Ricardo|M|Common Stock|19091.0000|124.2400|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,nonDerivative,2026-07-28,M,Common Stock,19091.0000,124.2400,2371865.84,125279.9880,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|nonDerivative|2026-07-28|Cardenas Ricardo|S|Common Stock|3801.0000|209.5754|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,nonDerivative,2026-07-28,S,Common Stock,3801.0000,209.5754,796596.0954,121478.9880,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|nonDerivative|2026-07-28|Cardenas Ricardo|S|Common Stock|7241.0000|209.4085|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,nonDerivative,2026-07-28,S,Common Stock,7241.0000,209.4085,1516326.9485,114237.9880,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|nonDerivative|2026-07-28|Cardenas Ricardo|S|Common Stock|12802.0000|208.7950|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,nonDerivative,2026-07-28,S,Common Stock,12802.0000,208.7950,2672993.59,101435.9880,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|nonDerivative|2026-07-28|Cardenas Ricardo|S|Common Stock|15290.0000|208.9985|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,nonDerivative,2026-07-28,S,Common Stock,15290.0000,208.9985,3195587.065,86145.9880,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|derivative|2026-07-28|Cardenas Ricardo|M|Stock Option (Right to Buy)|19091.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,derivative,2026-07-28,M,Stock Option (Right to Buy),19091.0000,0.0000,0.0,0.0000,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|derivative|2026-07-29|Cardenas Ricardo|A|Restricted Stock Units (FY27 Annual Grant)|12792.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),12792.0000,0.0000,0.0,12792.0000,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006842|derivative|2026-07-29|Cardenas Ricardo|A|Stock Option (Right to Buy)|37735.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-28,0001225208-26-006842,https://www.sec.gov/Archives/edgar/data/940944/000122520826006842/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),37735.0000,0.0000,0.0,37735.0000,D,Cardenas Ricardo,"Director, Officer, President and CEO",1,1,,President and CEO,SEC EDGAR
DRI|0001225208-26-006846|derivative|2026-07-29|Burrowes Todd|A|Restricted Stock Units (FY27 Annual Grant)|1997.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006846,https://www.sec.gov/Archives/edgar/data/940944/000122520826006846/doc4.xml,derivative,2026-07-29,A,Restricted Stock Units (FY27 Annual Grant),1997.0000,0.0000,0.0,1997.0000,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
DRI|0001225208-26-006846|derivative|2026-07-29|Burrowes Todd|A|Stock Option (Right to Buy)|5890.0000|0.0000|D,2026-08-01 03:44:51+0000,DRI,DARDEN RESTAURANTS INC,0000940944,4,2026-07-30,2026-07-29,0001225208-26-006846,https://www.sec.gov/Archives/edgar/data/940944/000122520826006846/doc4.xml,derivative,2026-07-29,A,Stock Option (Right to Buy),5890.0000,0.0000,0.0,5890.0000,D,Burrowes Todd,"Officer, Group Pres, Pres, Chuy's",,1,,"Group Pres, Pres, Chuy's",SEC EDGAR
CTAS|0000950103-26-011495|derivative|2026-07-28|Coletti Robert E.|A|Phantom Stock Units|116.33|214.90|D,2026-08-01 03:44:51+0000,CTAS,CINTAS CORP,0000723254,4,2026-07-30,2026-07-28,0000950103-26-011495,https://www.sec.gov/Archives/edgar/data/723254/000095010326011495/ownership.xml,derivative,2026-07-28,A,Phantom Stock Units,116.33,214.90,24999.317,11363.14,D,Coletti Robert E.,Director,1,0,0,,SEC EDGAR
CTAS|0000950103-26-011493|derivative|2026-07-28|CARNAHAN KAREN L|A|Phantom Stock Units|133.78|214.90|D,2026-08-01 03:44:51+0000,CTAS,CINTAS CORP,0000723254,4,2026-07-30,2026-07-28,0000950103-26-011493,https://www.sec.gov/Archives/edgar/data/723254/000095010326011493/ownership.xml,derivative,2026-07-28,A,Phantom Stock Units,133.78,214.90,28749.322,6815.81,D,CARNAHAN KAREN L,Director,1,0,0,,SEC EDGAR
CTAS|0000950103-26-011492|derivative|2026-07-28|Barstad Melanie W.|A|Phantom Stock Units|148.32|214.90|D,2026-08-01 03:44:51+0000,CTAS,CINTAS CORP,0000723254,4,2026-07-30,2026-07-28,0000950103-26-011492,https://www.sec.gov/Archives/edgar/data/723254/000095010326011492/ownership.xml,derivative,2026-07-28,A,Phantom Stock Units,148.32,214.90,31873.968,4734.45,D,Barstad Melanie W.,Director,1,0,0,,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|160|174.70|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,160,174.70,27952.0,8123384,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|880|175.86|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,880,175.86,154756.80000000002,8122504,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|760|176.80|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,760,176.80,134368.0,8121744,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|640|178.04|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,640,178.04,113945.59999999999,8121104,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|680|179.04|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,680,179.04,121747.2,8120424,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|360|179.94|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,360,179.94,64778.4,8120064,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|1238|181.34|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,1238,181.34,224498.92,8118826,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|2762|182.08|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,2762,182.08,502904.96,8116064,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|1600|183.24|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,1600,183.24,293184.0,8114464,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-28|Kurtz George|S|Class A common stock|920|183.97|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-28,S,Class A common stock,920,183.97,169252.4,8113544,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|560|178.38|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,560,178.38,99892.8,8112984,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|3276|179.44|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,3276,179.44,587845.44,8109708,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|3318|180.23|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,3318,180.23,598003.14,8106390,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|1446|181.19|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,1446,181.19,262000.74,8104944,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|680|182.31|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,680,182.31,123970.8,8104264,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|320|183.21|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,320,183.21,58627.200000000004,8103944,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|240|184.82|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,240,184.82,44356.799999999996,8103704,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CRWD|0001778564-26-000129|nonDerivative|2026-07-29|Kurtz George|S|Class A common stock|160|185.77|D,2026-08-01 03:44:51+0000,CRWD,"CrowdStrike Holdings, Inc.",0001535527,4,2026-07-30,2026-07-28,0001778564-26-000129,https://www.sec.gov/Archives/edgar/data/1535527/000177856426000129/form4-07302026_080701.xml,nonDerivative,2026-07-29,S,Class A common stock,160,185.77,29723.2,8103544,D,Kurtz George,PRESIDENT AND CEO,true,true,false,PRESIDENT AND CEO,SEC EDGAR
CPRT|0001193125-26-326503|nonDerivative|2026-07-28|Liaw Jeffrey|M|Common Stock|3591|6.78|D,2026-08-01 03:44:51+0000,CPRT,COPART INC,0000900075,4,2026-07-30,2026-07-28,0001193125-26-326503,https://www.sec.gov/Archives/edgar/data/900075/000119312526326503/ownership.xml,nonDerivative,2026-07-28,M,Common Stock,3591,6.78,24346.98,84220,D,Liaw Jeffrey,Chief Executive Officer,false,true,false,Chief Executive Officer,SEC EDGAR
CPRT|0001193125-26-326503|nonDerivative|2026-07-28|Liaw Jeffrey|M|Common Stock|43166|8.70|D,2026-08-01 03:44:51+0000,CPRT,COPART INC,0000900075,4,2026-07-30,2026-07-28,0001193125-26-326503,https://www.sec.gov/Archives/edgar/data/900075/000119312526326503/ownership.xml,nonDerivative,2026-07-28,M,Common Stock,43166,8.70,375544.19999999995,127386,D,Liaw Jeffrey,Chief Executive Officer,false,true,false,Chief Executive Officer,SEC EDGAR
CPRT|0001193125-26-326503|nonDerivative|2026-07-28|Liaw Jeffrey|S|Common Stock|27745|30.49|D,2026-08-01 03:44:51+0000,CPRT,COPART INC,0000900075,4,2026-07-30,2026-07-28,0001193125-26-326503,https://www.sec.gov/Archives/edgar/data/900075/000119312526326503/ownership.xml,nonDerivative,2026-07-28,S,Common Stock,27745,30.49,845945.0499999999,99641,D,Liaw Jeffrey,Chief Executive Officer,false,true,false,Chief Executive Officer,SEC EDGAR
CPRT|0001193125-26-326503|derivative|2026-07-28|Liaw Jeffrey|M|Stock Option|3591|0|D,2026-08-01 03:44:51+0000,CPRT,COPART INC,0000900075,4,2026-07-30,2026-07-28,0001193125-26-326503,https://www.sec.gov/Archives/edgar/data/900075/000119312526326503/ownership.xml,derivative,2026-07-28,M,Stock Option,3591,0,0.0,0,D,Liaw Jeffrey,Chief Executive Officer,false,true,false,Chief Executive Officer,SEC EDGAR
CPRT|0001193125-26-326503|derivative|2026-07-28|Liaw Jeffrey|M|Stock Option|43166|0|D,2026-08-01 03:44:51+0000,CPRT,COPART INC,0000900075,4,2026-07-30,2026-07-28,0001193125-26-326503,https://www.sec.gov/Archives/edgar/data/900075/000119312526326503/ownership.xml,derivative,2026-07-28,M,Stock Option,43166,0,0.0,178718,D,Liaw Jeffrey,Chief Executive Officer,false,true,false,Chief Executive Officer,SEC EDGAR
COF|0001706865-26-000007|nonDerivative|2026-07-29|Golden Timothy P|S|Common Stock|3487|211|D,2026-08-01 03:44:51+0000,COF,CAPITAL ONE FINANCIAL CORP,0000927628,4,2026-07-30,2026-07-29,0001706865-26-000007,https://www.sec.gov/Archives/edgar/data/927628/000170686526000007/wk-form4_1785444712.xml,nonDerivative,2026-07-29,S,Common Stock,3487,211,735757.0,7429,D,Golden Timothy P,"Officer, SVP, Chief Accounting Officer",0,1,0,"SVP, Chief Accounting Officer",SEC EDGAR
BKNG|0001214607-26-000012|nonDerivative|2026-07-29|MYLOD ROBERT J JR|S|Common Stock|5000|200|I,2026-08-01 03:44:51+0000,BKNG,Booking Holdings Inc.,0001075531,4,2026-07-30,2026-07-29,0001214607-26-000012,https://www.sec.gov/Archives/edgar/data/1075531/000121460726000012/form4-07302026_040701.xml,nonDerivative,2026-07-29,S,Common Stock,5000,200,1000000.0,16000,I,MYLOD ROBERT J JR,,true,false,false,,SEC EDGAR
AON|0001193125-26-326365|nonDerivative|2026-07-28|Zeidel Darren|S|Class A Ordinary Stock|700|376|D,2026-08-01 03:44:51+0000,AON,Aon plc,0000315293,4,2026-07-30,2026-07-28,0001193125-26-326365,https://www.sec.gov/Archives/edgar/data/315293/000119312526326365/ownership.xml,nonDerivative,2026-07-28,S,Class A Ordinary Stock,700,376,263200.0,12704.099,D,Zeidel Darren,General Counsel,false,true,false,General Counsel,SEC EDGAR
